[2025-07-12 02:40:03,393] INFO: Boxplot salvo em: /tmp/pytest-of-root/pytest-15/test_boxplot_creation0/boxplot_fechamento.png
[2025-07-12 02:40:03,930] INFO: Histograma salvo em: /tmp/pytest-of-root/pytest-15/test_histogram_creation0/histograma_fechamento.png
[2025-07-12 02:40:04,509] INFO: Gráfico linha salvo para TEST em: /tmp/pytest-of-root/pytest-15/test_line_graph_creation0/TEST_linha_resumo.png
[2025-07-12 02:44:16,896] INFO: Iniciando geração do boxplot...
[2025-07-12 02:44:16,896] INFO: Criptomoedas disponíveis: ['BTC', 'ETH']
[2025-07-12 02:44:16,896] INFO: Total de dados coletados para o boxplot: 20
[2025-07-12 02:44:16,897] INFO: DataFrame do boxplot criado com shape: (20, 2)
[2025-07-12 02:44:17,448] INFO: Boxplot salvo em: /tmp/pytest-of-root/pytest-16/test_boxplot_creation0/boxplot_fechamento.png
[2025-07-12 02:44:17,923] INFO: Histograma salvo em: /tmp/pytest-of-root/pytest-16/test_histogram_creation0/histograma_fechamento.png
[2025-07-12 02:44:18,438] INFO: Gráfico linha salvo para TEST em: /tmp/pytest-of-root/pytest-16/test_line_graph_creation0/TEST_linha_resumo.png
[2025-07-12 03:04:13,669] INFO: Iniciando geração do boxplot...
[2025-07-12 03:04:13,670] INFO: Criptomoedas disponíveis: ['BTC', 'ETH']
[2025-07-12 03:04:13,670] INFO: Total de dados coletados para o boxplot: 20
[2025-07-12 03:04:13,671] INFO: DataFrame do boxplot criado com shape: (20, 2)
[2025-07-12 03:04:14,245] INFO: Boxplot salvo em: /tmp/pytest-of-root/pytest-17/test_boxplot_creation0/boxplot_fechamento.png
[2025-07-12 03:04:14,842] INFO: Histograma salvo em: /tmp/pytest-of-root/pytest-17/test_histogram_creation0/histograma_fechamento.png
[2025-07-12 03:04:15,351] INFO: Gráfico linha salvo para TEST em: /tmp/pytest-of-root/pytest-17/test_line_graph_creation0/TEST_linha_resumo.png
[2025-07-12 03:04:22,204] INFO: Iniciando geração do boxplot...
